Question,Answer,Type
貨倉原有飲料627支，上午賣出373支，下午運來544支，現在共有多少支？,798,四則應用
13:10 出發，經過75分鐘後到達，到達時間是？,14:25,時間計算
幾個人合買一份449元的禮物，每人平均要付多少元？還剩多少元？,74...5,四則應用
甲地到乙地60公里，去程用了4小時，回程用了3小時，回程平均速率是多少km/h？,20,速率
635 - 560 = ?,75,減法
有142個蘋果，每7個裝一袋，可以裝多少袋？餘下幾個？,20...2,分組
在 7456 中，數字「6」表示的數值是？,6,位值
(87 + 69) × 2 = ?,312,混合運算
42 × 29 + 156 = ?,1374,混合運算
2米7厘米 = 多少厘米？,207,單位轉換
2的6倍是多少？,12,倍數
甲地到乙地180公里，去程用了5小時，回程用了3小時，回程平均速率是多少km/h？,60,速率
119 + 266 = ?,385,加法
41的2倍是多少？,82,倍數
702 - 533 = ?,169,減法
50 + 12 = ?,62,加法
一個長方形花圃，長20米，寬3米，圍欄長多少米？,46,周長計算
每件99元，買4件共需付多少元？,396元,金錢
主食有3種，飲品有3種，各選一種共有多少種搭配？,9,組合
每個盒子可放8件蛋糕，現有74件，最少要用多少個盒子？,10,除法
李叔叔每天做13個零件，8天可以做多少個零件？,104,四則應用
一個電器首期付235元，之後每期付48元，共6期，總售價多少元？,523元,金錢
6升138毫升 = 多少毫升？,6138,單位轉換
在○裡填上 >、< 或 =：8/9 ? 4/9,>,分數比較
26 × 59 = ?,1534,乘法
193 - 63 = ?,130,減法
有116個蘋果，每3個裝一袋，可以裝多少袋？餘下幾個？,38...2,分組
在○裡填上 >、< 或 =：3/8 ? 4/8,<,分數比較
幾個人合買一份730元的禮物，每人平均要付多少元？還剩多少元？,121...4,四則應用
7公斤724克 = 多少克？,7724,單位轉換
每件139元，買1件共需付多少元？,139元,金錢
主食有4種，飲品有3種，各選一種共有多少種搭配？,12,組合
每個盒子可放3件蛋糕，現有10件，最少要用多少個盒子？,4,除法
1升283毫升 = 多少毫升？,1283,單位轉換
每件64元，買5件，付365元，應找回多少元？,45元,金錢
7米33厘米 = 多少厘米？,733,單位轉換
主食有4種，飲品有5種，各選一種共有多少種搭配？,20,組合
293 + 120 = ?,413,加法
電影從16:32開始，到17:17結束，放映了多少分鐘？,45,時間長短
36 × 52 = ?,1872,乘法
主食有5種，飲品有5種，各選一種共有多少種搭配？,25,組合
每件80元，買5件，付479元，應找回多少元？,79元,金錢
每件290元，買6件共需付多少元？,1740元,金錢
(28 + 94) × 9 = ?,1098,混合運算
38的11倍是多少？,418,倍數
在○裡填上 >、< 或 =：5/6 ? 2/6,>,分數比較
一個長方形花圃，長13米，寬14米，圍欄長多少米？,54,周長計算
家中有果79個。媽媽吃了4個後，小文吃了餘下的2/3，現在還剩下多少個果？,25,四則應用
11:25 出發，經過15分鐘後到達，到達時間是？,11:40,時間計算
一個長方形花圃，長7米，寬5米，圍欄長多少米？,24,周長計算
156 + 334 = ?,490,加法
小明有531元，買文具用去302元，媽媽又給他191元，現在有多少元？,420,四則應用
家中有果92個。媽媽吃了8個後，小文吃了餘下的1/2，現在還剩下多少個果？,42,四則應用
每件文具26元，小華買了3件，付了126元，應找回多少元？,48,四則應用
88 × 52 = ?,4576,乘法
18小時31分鐘 = 多少分鐘？,1111,單位轉換
(82 + 47) × 9 = ?,1161,混合運算
每件文具50元，小華買了8件，付了417元，應找回多少元？,17,四則應用
136 + 282 - 20 = ?,398,混合運算
一個長方形花圃，長14米，寬13米，圍欄長多少米？,54,周長計算
(35 + 48) × 5 = ?,415,混合運算
小明有438元，買文具用去241元，媽媽又給他166元，現在有多少元？,363,四則應用
家中有果66個。媽媽吃了4個後，小文吃了餘下的1/2，現在還剩下多少個果？,31,四則應用
619 - 397 = ?,222,減法
爸爸今年36歲，4年後爸爸多少歲？,40,四則應用
父親今年38歲，兒子今年11歲，多少年前父親的年齡是兒子的4倍？,2,年齡
每件98元，買2件，付232元，應找回多少元？,36元,金錢
16:13 出發，經過90分鐘後到達，到達時間是？,17:43,時間計算
主食有2種，飲品有2種，各選一種共有多少種搭配？,4,組合
有43個蘋果，每7個裝一袋，可以裝多少袋？餘下幾個？,6...1,分組
(73 + 47) × 8 = ?,960,混合運算
每件65元，買3件，付219元，應找回多少元？,24元,金錢
5公里157米 = 多少米？,5157,單位轉換
在 50006 中，數字「0」表示的數值是？,0,位值
每件49元，買5件，付259元，應找回多少元？,14元,金錢
一個長方形花圃，長9米，寬3米，圍欄長多少米？,24,周長計算
166 + 55 = ?,221,加法
李叔叔每天做38個零件，9天可以做多少個零件？,342,四則應用
359 + 477 - 655 = ?,181,混合運算
有75個蘋果，每5個裝一袋，可以裝多少袋？,15,分組
19小時17分鐘 = 多少分鐘？,1157,單位轉換
在○裡填上 >、< 或 =：9/11 ? 4/11,>,分數比較
(90 + 88) × 5 = ?,890,混合運算
232 + 433 - 473 = ?,192,混合運算
69 × 40 = ?,2760,乘法
一個電器首期付293元，之後每期付63元，共3期，總售價多少元？,482元,金錢
主食有3種，飲品有5種，各選一種共有多少種搭配？,15,組合
49 × 92 = ?,4508,乘法
52 + 17 = ?,69,加法
貼紙每張27元，小美有31元，最多可買幾張？還剩幾元？,1...4,除法
27 × 2 = ?,54,乘法
一個長方形花圃，長7米，寬6米，圍欄長多少米？,26,周長計算
每個盒子可放3件蛋糕，現有8件，最少要用多少個盒子？,3,除法
05:18 出發，經過20分鐘後到達，到達時間是？,05:38,時間計算
每個盒子可放14件蛋糕，現有46件，最少要用多少個盒子？,4,除法
168 + 275 - 363 = ?,80,混合運算
605 - 437 = ?,168,減法
621 - 578 = ?,43,減法
每個盒子可放9件蛋糕，現有18件，最少要用多少個盒子？,2,除法
19和11的最小公倍數是多少？,209,數論
505 - 281 = ?,224,減法
每個盒子可放8件蛋糕，現有21件，最少要用多少個盒子？,3,除法
286 + 287 - 254 = ?,319,混合運算
一個長方形花圃，長10米，寬13米，圍欄長多少米？,46,周長計算
一個長方形花圃，長14米，寬5米，圍欄長多少米？,38,周長計算
288 + 185 = ?,473,加法
483 + 359 = ?,842,加法
每件文具71元，小華買了8件，付了663元，應找回多少元？,95,四則應用
爸爸今年30歲，6年後爸爸多少歲？,36,四則應用
甲地到乙地240公里，去程用了6小時，回程用了8小時，回程平均速率是多少km/h？,30,速率
家中有果42個。媽媽吃了7個後，小文吃了餘下的2/5，現在還剩下多少個果？,21,四則應用
17:44 出發，經過20分鐘後到達，到達時間是？,18:04,時間計算
63 × 30 = ?,1890,乘法
412 - 392 = ?,20,減法
4 × 37 + 344 = ?,492,混合運算
每件文具33元，小華買了8件，付了323元，應找回多少元？,59,四則應用
392 + 309 - 174 = ?,527,混合運算
鉛筆每枝42元，買10枝，共要付多少元？,420,乘法
2和12的最小公倍數是多少？,12,數論
每件116元，買2件共需付多少元？,232元,金錢
14的10倍是多少？,140,倍數
15 × 63 = ?,945,乘法
電影從18:58開始，到21:13結束，放映了多少分鐘？,135,時間長短
有26個蘋果，每10個裝一袋，可以裝多少袋？餘下幾個？,2...6,分組
鉛筆每枝43元，買6枝，共要付多少元？,258,乘法
電影從19:39開始，到19:54結束，放映了多少分鐘？,15,時間長短
6升483毫升 = 多少毫升？,6483,單位轉換
708 - 682 = ?,26,減法
在 23284 中，數字「2」表示的數值是？,200,位值
16小時2分鐘 = 多少分鐘？,962,單位轉換
每件54元，買4件，付298元，應找回多少元？,82元,金錢
把125個蘋果平均分給8個小朋友，每人得幾個？餘幾個？,15...5,除法
一個長方形花圃，長8米，寬3米，圍欄長多少米？,22,周長計算
202 - 173 = ?,29,減法
06:58 出發，經過120分鐘後到達，到達時間是？,08:58,時間計算
把164個蘋果平均分給4個小朋友，每人得幾個？,41,除法
一個長方形花圃，長10米，寬3米，圍欄長多少米？,26,周長計算
父親今年21歲，兒子今年14歲，多少年前父親的年齡是兒子的2倍？,7,年齡
鉛筆每枝45元，買9枝，共要付多少元？,405,乘法
8米32厘米 = 多少厘米？,832,單位轉換
甲地到乙地180公里，去程用了6小時，回程用了3小時，回程平均速率是多少km/h？,60,速率
家中有果71個。媽媽吃了5個後，小文吃了餘下的1/3，現在還剩下多少個果？,44,四則應用
534 - 105 = ?,429,減法
522 - 233 = ?,289,減法
18和17的最小公倍數是多少？,306,數論
382 + 267 = ?,649,加法
電影從13:57開始，到16:12結束，放映了多少分鐘？,135,時間長短
小明有361元，買文具用去212元，媽媽又給他180元，現在有多少元？,329,四則應用
家中有果44個。媽媽吃了2個後，小文吃了餘下的3/6，現在還剩下多少個果？,21,四則應用
鉛筆每枝20元，買6枝，共要付多少元？,120,乘法
每件80元，買6件，付492元，應找回多少元？,12元,金錢
貼紙每張39元，小美有42元，最多可買幾張？還剩幾元？,1...3,除法
每件70元，買2件，付191元，應找回多少元？,51元,金錢
每件64元，買6件，付482元，應找回多少元？,98元,金錢
每個盒子可放12件蛋糕，現有81件，最少要用多少個盒子？,7,除法
18 × 20 + 237 = ?,597,混合運算
小明有333元，買文具用去159元，媽媽又給他191元，現在有多少元？,365,四則應用
465 + 448 - 53 = ?,860,混合運算
電影從07:45開始，到08:30結束，放映了多少分鐘？,45,時間長短
380 + 197 - 166 = ?,411,混合運算
每件246元，買5件共需付多少元？,1230元,金錢
電影從06:43開始，到09:13結束，放映了多少分鐘？,150,時間長短
鉛筆每枝49元，買5枝，共要付多少元？,245,乘法
20公里206米 = 多少米？,20206,單位轉換
49的3倍是多少？,147,倍數
10小時25分鐘 = 多少分鐘？,625,單位轉換
每個盒子可放9件蛋糕，現有44件，最少要用多少個盒子？,5,除法
把182個蘋果平均分給5個小朋友，每人得幾個？餘幾個？,36...2,除法
把124個蘋果平均分給8個小朋友，每人得幾個？餘幾個？,15...4,除法
父親今年45歲，兒子今年13歲，多少年前父親的年齡是兒子的5倍？,5,年齡
08:35 出發，經過120分鐘後到達，到達時間是？,10:35,時間計算
12和13的最小公倍數是多少？,156,數論
一個電器首期付196元，之後每期付71元，共4期，總售價多少元？,480元,金錢
一個長方形花圃，長11米，寬9米，圍欄長多少米？,40,周長計算
甲地到乙地60公里，去程用了3小時，回程用了5小時，回程平均速率是多少km/h？,12,速率
有49個蘋果，每8個裝一袋，可以裝多少袋？餘下幾個？,6...1,分組
22 × 22 + 478 = ?,962,混合運算
小明有768元，買文具用去568元，媽媽又給他227元，現在有多少元？,427,四則應用
有41個蘋果，每7個裝一袋，可以裝多少袋？餘下幾個？,5...6,分組
有96個蘋果，每6個裝一袋，可以裝多少袋？,16,分組
有61個蘋果，每7個裝一袋，可以裝多少袋？餘下幾個？,8...5,分組
在○裡填上 >、< 或 =：2/3 ? 1/3,>,分數比較
主食有3種，飲品有2種，各選一種共有多少種搭配？,6,組合
有26個蘋果，每9個裝一袋，可以裝多少袋？餘下幾個？,2...8,分組
每個盒子可放6件蛋糕，現有9件，最少要用多少個盒子？,2,除法
20的10倍是多少？,200,倍數
(25 + 41) × 2 = ?,132,混合運算
小明有387元，買文具用去239元，媽媽又給他179元，現在有多少元？,327,四則應用
39 × 81 = ?,3159,乘法
一個長方形花圃，長18米，寬5米，圍欄長多少米？,46,周長計算
在○裡填上 >、< 或 =：3/8 ? 7/8,<,分數比較
在○裡填上 >、< 或 =：10/11 ? 3/11,>,分數比較
鉛筆每枝13元，買8枝，共要付多少元？,104,乘法
電影從01:19開始，到02:49結束，放映了多少分鐘？,90,時間長短
在○裡填上 >、< 或 =：2/4 ? 2/4,=,分數比較
在○裡填上 >、< 或 =：2/3 ? 1/3,>,分數比較
39 × 20 + 37 = ?,817,混合運算
13:28 出發，經過20分鐘後到達，到達時間是？,13:48,時間計算
家中有果58個。媽媽吃了4個後，小文吃了餘下的1/2，現在還剩下多少個果？,27,四則應用
在 40756 中，數字「6」表示的數值是？,6,位值
59 + 291 = ?,350,加法
電影從12:12開始，到14:42結束，放映了多少分鐘？,150,時間長短
一個長方形花圃，長19米，寬13米，圍欄長多少米？,64,周長計算
在○裡填上 >、< 或 =：1/5 ? 3/5,<,分數比較
在○裡填上 >、< 或 =：4/9 ? 2/9,>,分數比較
一個正方形有多少組平行線？,2,幾何
家中有果100個。媽媽吃了4個後，小文吃了餘下的4/6，現在還剩下多少個果？,32,四則應用
有132個蘋果，每3個裝一袋，可以裝多少袋？,44,分組
除數是3，商是26，餘數是1，被除數是多少？,79,除法
152 + 36 = ?,188,加法
除數是9，商是18，餘數是1，被除數是多少？,163,除法
505 - 186 = ?,319,減法
父親今年35歲，兒子今年17歲，多少年前父親的年齡是兒子的3倍？,8,年齡
主食有3種，飲品有3種，各選一種共有多少種搭配？,9,組合
36 × 56 = ?,2016,乘法
一個正方形有多少組平行線？,2,幾何
一個長方形花圃，長17米，寬4米，圍欄長多少米？,42,周長計算
07:02 出發，經過90分鐘後到達，到達時間是？,08:32,時間計算
392 + 225 = ?,617,加法
有78個蘋果，每9個裝一袋，可以裝多少袋？餘下幾個？,8...6,分組
在 56789 中，數字「5」表示的數值是？,50000,位值
李叔叔每天做11個零件，9天可以做多少個零件？,99,四則應用
小明有457元，買文具用去179元，媽媽又給他152元，現在有多少元？,430,四則應用
主食有3種，飲品有4種，各選一種共有多少種搭配？,12,組合
主食有5種，飲品有2種，各選一種共有多少種搭配？,10,組合
在 36607 中，數字「6」表示的數值是？,6000,位值
每件254元，買7件共需付多少元？,1778元,金錢
每件文具91元，小華買了5件，付了484元，應找回多少元？,29,四則應用
124 + 234 = ?,358,加法
在○裡填上 >、< 或 =：7/8 ? 4/8,>,分數比較
21 + 98 = ?,119,加法
148 - 61 = ?,87,減法
在 19293 中，數字「1」表示的數值是？,10000,位值
1升688毫升 = 多少毫升？,1688,單位轉換
電影從17:49開始，到18:04結束，放映了多少分鐘？,15,時間長短
31 + 350 = ?,381,加法
15的5倍是多少？,75,倍數
除數是8，商是28，餘數是1，被除數是多少？,225,除法
11 × 28 = ?,308,乘法
父親今年30歲，兒子今年16歲，多少年前父親的年齡是兒子的3倍？,9,年齡
幾個人合買一份681元的禮物，每人平均要付多少元？還剩多少元？,113...3,四則應用
10升245毫升 = 多少毫升？,10245,單位轉換
父親今年42歲，兒子今年14歲，多少年前父親的年齡是兒子的5倍？,7,年齡
父親今年37歲，兒子今年9歲，多少年前父親的年齡是兒子的5倍？,2,年齡
除數是9，商是28，餘數是2，被除數是多少？,254,除法
爸爸今年34歲，7年後爸爸多少歲？,41,四則應用
有115個蘋果，每10個裝一袋，可以裝多少袋？餘下幾個？,11...5,分組
幾個人合買一份294元的禮物，每人平均要付多少元？,147,四則應用
401 + 222 - 253 = ?,370,混合運算
2升136毫升 = 多少毫升？,2136,單位轉換
每件291元，買6件共需付多少元？,1746元,金錢
甲地到乙地300公里，去程用了5小時，回程用了3小時，回程平均速率是多少km/h？,100,速率
每件93元，買6件，付575元，應找回多少元？,17元,金錢
488 + 189 - 343 = ?,334,混合運算
主食有2種，飲品有4種，各選一種共有多少種搭配？,8,組合
甲地到乙地300公里，去程用了6小時，回程用了5小時，回程平均速率是多少km/h？,60,速率
257 + 170 - 374 = ?,53,混合運算
50的7倍是多少？,350,倍數
爸爸今年42歲，3年後爸爸多少歲？,45,四則應用
有148個蘋果，每4個裝一袋，可以裝多少袋？,37,分組
17:00 出發，經過20分鐘後到達，到達時間是？,17:20,時間計算
3厘米1毫米 = 多少毫米？,31,單位轉換
13和7的最小公倍數是多少？,91,數論
在○裡填上 >、< 或 =：4/8 ? 5/8,<,分數比較
一個長方形花圃，長7米，寬13米，圍欄長多少米？,40,周長計算
11:39 出發，經過75分鐘後到達，到達時間是？,12:54,時間計算
97 + 227 = ?,324,加法
除數是6，商是15，餘數是2，被除數是多少？,92,除法
在○裡填上 >、< 或 =：10/11 ? 8/11,>,分數比較
每個盒子可放15件蛋糕，現有145件，最少要用多少個盒子？,10,除法
6厘米6毫米 = 多少毫米？,66,單位轉換
(88 + 49) × 8 = ?,1096,混合運算
父親今年49歲，兒子今年13歲，多少年前父親的年齡是兒子的5倍？,4,年齡
一個長方形有多少組平行線？,2,幾何
貼紙每張12元，小美有68元，最多可買幾張？還剩幾元？,5...8,除法
電影從16:36開始，到18:36結束，放映了多少分鐘？,120,時間長短
貨倉原有飲料1176支，上午賣出786支，下午運來893支，現在共有多少支？,1283,四則應用
478 + 468 - 666 = ?,280,混合運算
爸爸今年50歲，9年後爸爸多少歲？,59,四則應用
貨倉原有飲料1110支，上午賣出935支，下午運來233支，現在共有多少支？,408,四則應用
鉛筆每枝20元，買10枝，共要付多少元？,200,乘法
爸爸今年48歲，6年後爸爸多少歲？,54,四則應用
李叔叔每天做34個零件，7天可以做多少個零件？,238,四則應用
13:03 出發，經過15分鐘後到達，到達時間是？,13:18,時間計算
一個長方形花圃，長16米，寬11米，圍欄長多少米？,54,周長計算
14的12倍是多少？,168,倍數
每個盒子可放12件蛋糕，現有33件，最少要用多少個盒子？,3,除法
有107個蘋果，每9個裝一袋，可以裝多少袋？餘下幾個？,11...8,分組
13和18的最小公倍數是多少？,234,數論
4厘米5毫米 = 多少毫米？,45,單位轉換
07:47 出發，經過60分鐘後到達，到達時間是？,08:47,時間計算
鉛筆每枝18元，買11枝，共要付多少元？,198,乘法
06:22 出發，經過60分鐘後到達，到達時間是？,07:22,時間計算
幾個人合買一份793元的禮物，每人平均要付多少元？還剩多少元？,198...1,四則應用
把108個蘋果平均分給4個小朋友，每人得幾個？,27,除法
93 × 18 = ?,1674,乘法
26的11倍是多少？,286,倍數
9米43厘米 = 多少厘米？,943,單位轉換
幾個人合買一份632元的禮物，每人平均要付多少元？,158,四則應用
5米33厘米 = 多少厘米？,533,單位轉換
貼紙每張36元，小美有28元，最多可買幾張？還剩幾元？,0...28,除法
甲地到乙地180公里，去程用了3小時，回程用了5小時，回程平均速率是多少km/h？,36,速率
20和6的最小公倍數是多少？,60,數論
666 - 271 = ?,395,減法
(64 + 65) × 5 = ?,645,混合運算
一個長方形花圃，長14米，寬8米，圍欄長多少米？,44,周長計算
一個長方形花圃，長10米，寬13米，圍欄長多少米？,46,周長計算
320 + 98 = ?,418,加法
340 + 47 = ?,387,加法
74 - 11 = ?,63,減法
貼紙每張43元，小美有77元，最多可買幾張？還剩幾元？,1...34,除法
家中有果58個。媽媽吃了4個後，小文吃了餘下的1/6，現在還剩下多少個果？,45,四則應用
把132個蘋果平均分給9個小朋友，每人得幾個？餘幾個？,14...6,除法
李叔叔每天做37個零件，3天可以做多少個零件？,111,四則應用
