Question,Answer,Type
在○裡填上 + 或 - 或 =：1/9 ? 6/9 (A.< B.: C.> D.=),A,分數(選擇)
56 + 32 = ?,88,加法
32的25倍是多少？,800,乘法
11:40 出發，經過15分鐘後到達，到達時間是？,11:55,時間計算
貨倉原有飲料1692支，上午賣出586支，下午運來928支，現在共有多少支？,2034,四則運算
5公里774米 = ? 米,5774,單位轉換
列出36的所有因數。,"1,2,3,4,6,9,12,18,36",數論
471 + 366 = ?,837,加法
05:26 出發，經過90分鐘後到達，到達時間是？,06:56,時間計算
471 - 407 = ?,64,減法
49 × 49 = ?,2401,乘法
22:21 出發，經過20分鐘後到達，到達時間是？,22:41,時間計算
9米27厘米 = ? 厘米,927,單位轉換
在 64307 中，數字「6」表示的數值是？,60000,位值
13 × 71 = ?,923,乘法
4469 ÷ 41 = ?,109,除法
在 1494 中，數字「4」表示的數值是？,400,位值
09:29 出發，經過20分鐘後到達，到達時間是？,09:49,時間計算
小明有680元，買文具用去430元，媽媽又給他117元，現在有多少元？,367,四則運算
36的因數有哪些？,"1,2,3,4,6,9,12,18,36",因數
貨倉原有飲料1109支，上午賣出210支，下午運來937支，現在共有多少支？,1836,四則運算
7升187毫升 = ? 毫升,7187,單位轉換
10小時31分 = ? 分,631,單位轉換
12厘米3毫米 = ? 毫米,123,單位轉換
在 8029 中，數字「9」表示的數值是？,9,位值
11:06 出發，經過45分鐘後到達，到達時間是？,11:51,時間計算
在○裡填上 + 或 - 或 =：1/8 ? 3/8 (A.< B.√ C.> D.=),A,分數(選擇)
家中有果99個。媽媽吃了3個後，小文吃了餘下的1/3，現在還剩下多少個果？,64,四則運算
現時香港流通紙幣有幾種？ (A.8 B.23 C.6 D.15),C,常識(選擇)
6公斤75克 = ? 克,6075,單位轉換
在 46404 中，數字「6」表示的數值是？,6000,位值
5公斤366克 = ? 克,5366,單位轉換
97 × 91 = ?,8827,乘法
204 + 500 = ?,704,加法
117 + 367 = ?,484,加法
5公斤432克 = ? 克,5432,單位轉換
"按 紅,黃,藍,綠 次序輪流進行，第86次是什麼？ (A.A B.C C.B D.黃)",D,週期(選擇)
在○裡填上 + 或 - 或 =：2/4 ? 3/4 (A.√ B.: C.< D.=),C,分數(選擇)
799 ÷ 47 = ?,17,除法
03:56 出發，經過20分鐘後到達，到達時間是？,04:16,時間計算
在○裡填上 + 或 - 或 =：3/4 ? 2/4 (A.√ B.= C.× D.>),D,分數(選擇)
10731 ÷ 73 = ?,147,除法
貨倉原有飲料1279支，上午賣出533支，下午運來622支，現在共有多少支？,1368,四則運算
27公里999米 = ? 米,27999,單位轉換
01:42 出發，經過20分鐘後到達，到達時間是？,02:02,時間計算
小明有318元，買文具用去87元，媽媽又給他101元，現在有多少元？,332,四則運算
05:17 出發，經過30分鐘後到達，到達時間是？,05:47,時間計算
早餐從飲品3種、主食3種中各選一種，共有多少種組合？,9,組合
24的因數有哪些？,"1,2,3,4,6,8,12,24",因數
每件261元，買5件共需付多少元？,1305元,金錢
在○裡填上 + 或 - 或 =：8/9 ? 6/9 (A.√ B.< C.> D.=),C,分數(選擇)
38 + 177 = ?,215,加法
14 + 275 = ?,289,加法
123 - 103 = ?,20,減法
"按 甲,乙,丙,丁 次序輪流進行，第18次是什麼？ (A.乙 B.甲 C.丙 D.丁)",A,週期(選擇)
一個平行四邊形有多少組平行線？,2,幾何
984 - 491 = ?,493,減法
18:40 出發，經過60分鐘後到達，到達時間是？,19:40,時間計算
314 + 181 = ?,495,加法
81 × 43 = ?,3483,乘法
72 × 98 = ?,7056,乘法
早餐從飲品3種、主食3種中各選一種，共有多少種組合？,9,組合
162 ÷ 6 = ?,27,除法
在 89117 中，數字「8」表示的數值是？,80000,位值
90 + 203 = ?,293,加法
小明有556元，買文具用去121元，媽媽又給他237元，現在有多少元？,672,四則運算
403 + 306 = ?,709,加法
18米88厘米 = ? 厘米,1888,單位轉換
27 × 70 = ?,1890,乘法
8公斤363克 = ? 克,8363,單位轉換
40的15倍是多少？,600,倍數
190 ÷ 6 = ?,31...4,除法
1580 ÷ 20 = ?,79,除法
27小時25分 = ? 分,1645,單位轉換
在○裡填上 + 或 - 或 =：1/3 ? 1/3 (A.< B.× C.: D.=),D,分數(選擇)
8704 ÷ 64 = ?,136,除法
家中有果75個。媽媽吃了3個後，小文吃了餘下的1/4，現在還剩下多少個果？,54,四則運算
一個平行四邊形有多少組平行線？,2,幾何
79的76倍是多少？,6004,乘法
家中有果58個。媽媽吃了2個後，小文吃了餘下的1/4，現在還剩下多少個果？,42,四則運算
家中有果79個。媽媽吃了7個後，小文吃了餘下的3/4，現在還剩下多少個果？,18,四則運算
44公里932米 = ? 米,44932,單位轉換
53的82倍是多少？,4346,乘法
71 × 89 = ?,6319,乘法
3和3的最小公倍數是？,3,數論
13:19 出發，經過20分鐘後到達，到達時間是？,13:39,時間計算
早餐從主食3種、飲品3種中各選一種，共有多少種組合？,9,組合
807 - 638 = ?,169,減法
"按 東,南,西,北 次序輪流進行，第62次是什麼？ (A.東方 B.北方 C.南 D.丙)",C,週期(選擇)
310 - 27 = ?,283,減法
423 + 69 = ?,492,加法
家中有果75個。媽媽吃了6個後，小文吃了餘下的2/3，現在還剩下多少個果？,23,四則運算
89 × 46 = ?,4094,乘法
3512 ÷ 35 = ?,100...12,除法
24的因數有哪些？,"1,2,3,4,6,8,12,24",因數
早餐從飲品3種、主食3種中各選一種，共有多少種組合？,9,組合
441 - 325 = ?,116,減法
6小時40分 = ? 分,400,單位轉換
一個梯形有多少組平行線？,1,幾何
家中有果62個。媽媽吃了2個後，小文吃了餘下的2/3，現在還剩下多少個果？,20,四則運算
19厘米6毫米 = ? 毫米,196,單位轉換
67 + 247 = ?,314,加法
306 - 193 = ?,113,減法
一個長方形有多少組平行線？,2,幾何
列出18的所有因數。,"1,2,3,6,9,18",數論
764 - 583 = ?,181,減法
05:36 出發，經過20分鐘後到達，到達時間是？,05:56,時間計算
399 - 362 = ?,37,減法
13小時19分 = ? 分,799,單位轉換
父親今年42歲，兒子今年10歲，在多少年前父親年齡是兒子的5倍？,2,年齡
20和7的最小公倍數是？,140,數論
8升247毫升 = ? 毫升,8247,單位轉換
320 ÷ 20 = ?,16,除法
268 - 168 = ?,100,減法
12:25 出發，經過75分鐘後到達，到達時間是？,13:40,時間計算
12米95厘米 = ? 厘米,1295,單位轉換
322 + 483 = ?,805,加法
家中有果90個。媽媽吃了2個後，小文吃了餘下的1/4，現在還剩下多少個果？,66,四則運算
貨倉原有飲料1486支，上午賣出360支，下午運來644支，現在共有多少支？,1770,四則運算
04:43 出發，經過75分鐘後到達，到達時間是？,05:58,時間計算
05:30 出發，經過60分鐘後到達，到達時間是？,06:30,時間計算
691 - 579 = ?,112,減法
2的12倍是多少？,24,倍數
37的89倍是多少？,3293,乘法
小明有391元，買文具用去287元，媽媽又給他212元，現在有多少元？,316,四則運算
11:55 出發，經過60分鐘後到達，到達時間是？,12:55,時間計算
42小時18分 = ? 分,2538,單位轉換
貨倉原有飲料1809支，上午賣出596支，下午運來862支，現在共有多少支？,2075,四則運算
40的39倍是多少？,1560,乘法
267 + 296 = ?,563,加法
列出24的所有因數。,"1,2,3,4,6,8,12,24",數論
645 - 97 = ?,548,減法
1952 ÷ 33 = ?,59...5,除法
13:34 出發，經過60分鐘後到達，到達時間是？,14:34,時間計算
505 - 50 = ?,455,減法
24的因數有哪些？,"1,2,3,4,6,8,12,24",因數
507 - 359 = ?,148,減法
38小時37分 = ? 分,2317,單位轉換
00:47 出發，經過15分鐘後到達，到達時間是？,01:02,時間計算
家中有果94個。媽媽吃了6個後，小文吃了餘下的1/4，現在還剩下多少個果？,66,四則運算
28 × 42 = ?,1176,乘法
87 + 485 = ?,572,加法
在 75978 中，數字「7」表示的數值是？,70,位值
每件44元，買8件共需付多少元？,352元,金錢
368 + 486 = ?,854,加法
3916 ÷ 50 = ?,78...16,除法
貨倉原有飲料1647支，上午賣出759支，下午運來732支，現在共有多少支？,1620,四則運算
50 × 81 = ?,4050,乘法
早餐從主食3種、飲品3種中各選一種，共有多少種組合？,9,組合
75 × 78 = ?,5850,乘法
15公斤601克 = ? 克,15601,單位轉換
891 ÷ 9 = ?,99,除法
4756 ÷ 41 = ?,116,除法
09:27 出發，經過90分鐘後到達，到達時間是？,10:57,時間計算
"按 甲,乙,丙,丁 次序輪流進行，第30次是什麼？ (A.北方 B.戊 C.南方 D.乙)",D,週期(選擇)
15米33厘米 = ? 厘米,1533,單位轉換
39的7倍是多少？,273,乘法
早餐從主食3種、飲品3種中各選一種，共有多少種組合？,9,組合
36的因數有哪些？,"1,2,3,4,6,9,12,18,36",因數
20:30 出發，經過90分鐘後到達，到達時間是？,22:00,時間計算
32公里466米 = ? 米,32466,單位轉換
524 - 365 = ?,159,減法
16米23厘米 = ? 厘米,1623,單位轉換
貨倉原有飲料1078支，上午賣出538支，下午運來256支，現在共有多少支？,796,四則運算
小明有630元，買文具用去111元，媽媽又給他201元，現在有多少元？,720,四則運算
311 - 47 = ?,264,減法
一個正方形有多少組平行線？,2,幾何
125 - 103 = ?,22,減法
14:42 出發，經過20分鐘後到達，到達時間是？,15:02,時間計算
36的因數有哪些？,"1,2,3,4,6,9,12,18,36",因數
5和15的最小公倍數是？,15,數論
89 × 58 = ?,5162,乘法
63 × 92 = ?,5796,乘法
15升839毫升 = ? 毫升,15839,單位轉換
4厘米6毫米 = ? 毫米,46,單位轉換
389 + 78 = ?,467,加法
48的因數有哪些？,"1,2,3,4,6,8,12,16,24,48",因數
在○裡填上 + 或 - 或 =：2/4 ? 2/4 (A.= B.< C.> D.√),A,分數(選擇)
1025 ÷ 41 = ?,25,除法
373 - 248 = ?,125,減法
547 - 426 = ?,121,減法
187 - 64 = ?,123,減法
在○裡填上 + 或 - 或 =：2/10 ? 8/10 (A.× B.√ C.< D.=),C,分數(選擇)
309 + 497 = ?,806,加法
現時香港流通紙幣有幾種？ (A.25 B.6 C.5 D.10),B,常識(選擇)
225 + 239 = ?,464,加法
在○裡填上 + 或 - 或 =：3/8 ? 5/8 (A.> B.√ C.× D.<),D,分數(選擇)
30的37倍是多少？,1110,乘法
家中有果56個。媽媽吃了8個後，小文吃了餘下的1/6，現在還剩下多少個果？,40,四則運算
"按 紅,黃,藍,綠 次序輪流進行，第68次是什麼？ (A.A B.C C.綠 D.B)",C,週期(選擇)
貨倉原有飲料1840支，上午賣出1376支，下午運來362支，現在共有多少支？,826,四則運算
56的25倍是多少？,1400,乘法
18厘米6毫米 = ? 毫米,186,單位轉換
89 × 30 = ?,2670,乘法
在○裡填上 + 或 - 或 =：1/4 ? 3/4 (A.= B.> C.: D.<),D,分數(選擇)
"按 東,南,西,北 次序輪流進行，第73次是什麼？ (A.乙 B.東方 C.南方 D.東)",D,週期(選擇)
90 × 90 = ?,8100,乘法
2 × 61 = ?,122,乘法
415 - 152 = ?,263,減法
在○裡填上 + 或 - 或 =：1/10 ? 9/10 (A.< B.× C.: D.=),A,分數(選擇)
412 + 154 = ?,566,加法
貨倉原有飲料863支，上午賣出468支，下午運來397支，現在共有多少支？,792,四則運算
36的因數有哪些？,"1,2,3,4,6,9,12,18,36",因數
362 - 116 = ?,246,減法
家中有果80個。媽媽吃了6個後，小文吃了餘下的1/2，現在還剩下多少個果？,37,四則運算
家中有果55個。媽媽吃了5個後，小文吃了餘下的1/2，現在還剩下多少個果？,25,四則運算
67的93倍是多少？,6231,乘法
小明有352元，買文具用去229元，媽媽又給他256元，現在有多少元？,379,四則運算
貨倉原有飲料1733支，上午賣出994支，下午運來237支，現在共有多少支？,976,四則運算
"按 紅,黃,藍,綠 次序輪流進行，第57次是什麼？ (A.紅 B.C C.B D.A)",A,週期(選擇)
在 43460 中，數字「4」表示的數值是？,40000,位值
122 - 18 = ?,104,減法
19和4的最小公倍數是？,76,數論
05:44 出發，經過45分鐘後到達，到達時間是？,06:29,時間計算
家中有果70個。媽媽吃了4個後，小文吃了餘下的2/3，現在還剩下多少個果？,22,四則運算
在○裡填上 + 或 - 或 =：11/12 ? 4/12 (A.= B.> C.< D.×),B,分數(選擇)
87 × 65 = ?,5655,乘法
貨倉原有飲料1226支，上午賣出398支，下午運來333支，現在共有多少支？,1161,四則運算
494 + 357 = ?,851,加法
貨倉原有飲料1803支，上午賣出1441支，下午運來828支，現在共有多少支？,1190,四則運算
"按 紅,黃,藍,綠 次序輪流進行，第79次是什麼？ (A.藍 B.A C.C D.B)",A,週期(選擇)
03:16 出發，經過45分鐘後到達，到達時間是？,04:01,時間計算
331 + 106 = ?,437,加法
80的89倍是多少？,7120,乘法
494 - 314 = ?,180,減法
06:22 出發，經過45分鐘後到達，到達時間是？,07:07,時間計算
6小時58分 = ? 分,418,單位轉換
36的因數有哪些？,"1,2,3,4,6,9,12,18,36",因數
早餐從主食3種、飲品3種中各選一種，共有多少種組合？,9,組合
60的因數有哪些？,"1,2,3,4,5,6,10,12,15,20,30,60",因數
114 + 473 = ?,587,加法
32小時40分 = ? 分,1960,單位轉換
在○裡填上 + 或 - 或 =：3/11 ? 1/11 (A.: B.√ C.> D.×),C,分數(選擇)
18的98倍是多少？,1764,乘法
474 + 11 = ?,485,加法
每件30元，買8件共需付多少元？,240元,金錢
在 38728 中，數字「8」表示的數值是？,8000,位值
2的56倍是多少？,112,乘法
96 × 75 = ?,7200,乘法
"按 甲,乙,丙,丁 次序輪流進行，第36次是什麼？ (A.丙 B.丁 C.南方 D.西方)",B,週期(選擇)
467 - 82 = ?,385,減法
父親今年32歲，兒子今年19歲，在多少年前父親年齡是兒子的2倍？,6,年齡
218 - 188 = ?,30,減法
515 - 409 = ?,106,減法
貨倉原有飲料670支，上午賣出169支，下午運來284支，現在共有多少支？,785,四則運算
列出12的所有因數。,"1,2,3,4,6,12",數論
22:33 出發，經過20分鐘後到達，到達時間是？,22:53,時間計算
10厘米2毫米 = ? 毫米,102,單位轉換
小明有746元，買文具用去275元，媽媽又給他274元，現在有多少元？,745,四則運算
2323 ÷ 23 = ?,101,除法
85 + 36 = ?,121,加法
家中有果96個。媽媽吃了6個後，小文吃了餘下的2/5，現在還剩下多少個果？,54,四則運算
261 ÷ 40 = ?,6...21,除法
108 - 74 = ?,34,減法
17 + 179 = ?,196,加法
家中有果60個。媽媽吃了6個後，小文吃了餘下的4/6，現在還剩下多少個果？,18,四則運算
在 33473 中，數字「4」表示的數值是？,400,位值
01:47 出發，經過30分鐘後到達，到達時間是？,02:17,時間計算
124 + 97 = ?,221,加法
1832 ÷ 45 = ?,40...32,除法
85的16倍是多少？,1360,乘法
"按 東,南,西,北 次序輪流進行，第61次是什麼？ (A.東 B.南方 C.北方 D.乙)",A,週期(選擇)
父親今年41歲，兒子今年9歲，在多少年前父親年齡是兒子的5倍？,1,年齡
早餐從飲品3種、主食3種中各選一種，共有多少種組合？,9,組合
小明有382元，買文具用去134元，媽媽又給他275元，現在有多少元？,523,四則運算
17:28 出發，經過30分鐘後到達，到達時間是？,17:58,時間計算
13厘米8毫米 = ? 毫米,138,單位轉換
13:05 出發，經過15分鐘後到達，到達時間是？,13:20,時間計算
每件98元，買2件共需付多少元？,196元,金錢
36的因數有哪些？,"1,2,3,4,6,9,12,18,36",因數
父親今年31歲，兒子今年17歲，在多少年前父親年齡是兒子的2倍？,3,年齡
53的75倍是多少？,3975,乘法
父親今年50歲，兒子今年17歲，在多少年前父親年齡是兒子的4倍？,6,年齡
小明有479元，買文具用去179元，媽媽又給他201元，現在有多少元？,501,四則運算
806 ÷ 46 = ?,17...24,除法
面向北方，左轉1個直角，現在面向哪一方？ (A.A B.西方 C.C D.B),B,方向(選擇)
17和8的最小公倍數是？,136,數論
9的13倍是多少？,117,倍數
2升31毫升 = ? 毫升,2031,單位轉換
4和14的最小公倍數是？,28,數論
3060 ÷ 60 = ?,51,除法
在 70903 中，數字「9」表示的數值是？,900,位值
3和6的最小公倍數是？,6,數論
334 + 40 = ?,374,加法
14616 ÷ 84 = ?,174,除法
家中有果42個。媽媽吃了2個後，小文吃了餘下的4/5，現在還剩下多少個果？,8,四則運算
小明有620元，買文具用去271元，媽媽又給他190元，現在有多少元？,539,四則運算
在○裡填上 + 或 - 或 =：1/3 ? 2/3 (A.× B.= C.< D.:),C,分數(選擇)
75的65倍是多少？,4875,乘法
一個梯形有多少組平行線？,1,幾何
列出60的所有因數。,"1,2,3,4,5,6,10,12,15,20,30,60",數論
"按 紅,黃,藍,綠 次序輪流進行，第33次是什麼？ (A.A B.紅 C.C D.B)",B,週期(選擇)
"按 甲,乙,丙,丁 次序輪流進行，第27次是什麼？ (A.丙 B.乙 C.北方 D.東方)",A,週期(選擇)
14 × 67 = ?,938,乘法
419 - 411 = ?,8,減法
59的17倍是多少？,1003,乘法
04:42 出發，經過45分鐘後到達，到達時間是？,05:27,時間計算
列出12的所有因數。,"1,2,3,4,6,12",數論
貨倉原有飲料793支，上午賣出129支，下午運來438支，現在共有多少支？,1102,四則運算
100 - 75 = ?,25,減法
小明有790元，買文具用去378元，媽媽又給他200元，現在有多少元？,612,四則運算
小明有527元，買文具用去145元，媽媽又給他236元，現在有多少元？,618,四則運算
24的63倍是多少？,1512,乘法
708 ÷ 13 = ?,54...6,除法
295 + 250 = ?,545,加法
83 + 490 = ?,573,加法
346 - 19 = ?,327,減法
300 + 112 = ?,412,加法
316 + 229 = ?,545,加法
在 40814 中，數字「4」表示的數值是？,40000,位值
227 - 179 = ?,48,減法
列出24的所有因數。,"1,2,3,4,6,8,12,24",數論
112 - 52 = ?,60,減法
848 - 578 = ?,270,減法
貨倉原有飲料1838支，上午賣出677支，下午運來652支，現在共有多少支？,1813,四則運算
99 + 345 = ?,444,加法
小明有416元，買文具用去149元，媽媽又給他250元，現在有多少元？,517,四則運算
12升96毫升 = ? 毫升,12096,單位轉換
在 18272 中，數字「7」表示的數值是？,70,位值
1公斤895克 = ? 克,1895,單位轉換
在 65045 中，數字「0」表示的數值是？,0,位值
261 + 174 = ?,435,加法
169 ÷ 3 = ?,56...1,除法
453 - 376 = ?,77,減法
42的47倍是多少？,1974,乘法
家中有果60個。媽媽吃了8個後，小文吃了餘下的2/4，現在還剩下多少個果？,26,四則運算
98 × 18 = ?,1764,乘法
92的27倍是多少？,2484,乘法
369 + 31 = ?,400,加法
4米37厘米 = ? 厘米,437,單位轉換
01:17 出發，經過15分鐘後到達，到達時間是？,01:32,時間計算
家中有果66個。媽媽吃了3個後，小文吃了餘下的2/3，現在還剩下多少個果？,21,四則運算
19厘米3毫米 = ? 毫米,193,單位轉換
03:03 出發，經過90分鐘後到達，到達時間是？,04:33,時間計算
"按 東,南,西,北 次序輪流進行，第47次是什麼？ (A.戊 B.西 C.西方 D.己)",B,週期(選擇)
"按 東,南,西,北 次序輪流進行，第29次是什麼？ (A.北方 B.丁 C.戊 D.東)",D,週期(選擇)
920 - 871 = ?,49,減法
1公斤177克 = ? 克,1177,單位轉換
在 92702 中，數字「0」表示的數值是？,0,位值
早餐從主食3種、飲品3種中各選一種，共有多少種組合？,9,組合
14公里594米 = ? 米,14594,單位轉換
一個長方形有多少組平行線？,2,幾何
17:39 出發，經過15分鐘後到達，到達時間是？,17:54,時間計算
2 × 57 = ?,114,乘法
41公里330米 = ? 米,41330,單位轉換
366 - 154 = ?,212,減法
456 + 207 = ?,663,加法
家中有果36個。媽媽吃了3個後，小文吃了餘下的1/3，現在還剩下多少個果？,22,四則運算
04:24 出發，經過60分鐘後到達，到達時間是？,05:24,時間計算
30 × 28 = ?,840,乘法
95 × 91 = ?,8645,乘法
一年有31天的月份有幾個？ (A.17 B.26 C.7 D.21),C,常識(選擇)
645 ÷ 8 = ?,80...5,除法
783 - 761 = ?,22,減法
"按 甲,乙,丙,丁 次序輪流進行，第63次是什麼？ (A.甲 B.東方 C.戊 D.丙)",D,週期(選擇)
81的30倍是多少？,2430,乘法
小明有483元，買文具用去353元，媽媽又給他272元，現在有多少元？,402,四則運算
"按 甲,乙,丙,丁 次序輪流進行，第36次是什麼？ (A.西方 B.丁 C.北方 D.東方)",B,週期(選擇)
12 × 6 = ?,72,乘法
家中有果62個。媽媽吃了6個後，小文吃了餘下的1/2，現在還剩下多少個果？,28,四則運算
479 ÷ 25 = ?,19...4,除法
430 + 388 = ?,818,加法
14:59 出發，經過60分鐘後到達，到達時間是？,15:59,時間計算
8厘米8毫米 = ? 毫米,88,單位轉換
16:21 出發，經過45分鐘後到達，到達時間是？,17:06,時間計算
785 ÷ 40 = ?,19...25,除法
232 - 123 = ?,109,減法
9公斤564克 = ? 克,9564,單位轉換
"按 東,南,西,北 次序輪流進行，第97次是什麼？ (A.乙 B.丁 C.東 D.甲)",C,週期(選擇)
351 + 223 = ?,574,加法
563 - 220 = ?,343,減法
223 - 217 = ?,6,減法
貨倉原有飲料1550支，上午賣出379支，下午運來560支，現在共有多少支？,1731,四則運算
29的10倍是多少？,290,倍數
16和20的最小公倍數是？,80,數論
65 × 57 = ?,3705,乘法
240 + 135 = ?,375,加法
259 + 416 = ?,675,加法
小明有656元，買文具用去272元，媽媽又給他298元，現在有多少元？,682,四則運算
381 + 496 = ?,877,加法
463 + 57 = ?,520,加法
一個正方形有多少組平行線？,2,幾何
父親今年35歲，兒子今年13歲，在多少年前父親年齡是兒子的3倍？,2,年齡
306 + 97 = ?,403,加法
37公里905米 = ? 米,37905,單位轉換
48的因數有哪些？,"1,2,3,4,6,8,12,16,24,48",因數
一個梯形有多少組平行線？,1,幾何
貨倉原有飲料703支，上午賣出161支，下午運來722支，現在共有多少支？,1264,四則運算
貨倉原有飲料553支，上午賣出129支，下午運來856支，現在共有多少支？,1280,四則運算
父親今年36歲，兒子今年8歲，在多少年前父親年齡是兒子的5倍？,1,年齡
467 + 442 = ?,909,加法
4550 ÷ 35 = ?,130,除法
924 - 794 = ?,130,減法
每件275元，買3件共需付多少元？,825元,金錢
15:52 出發，經過60分鐘後到達，到達時間是？,16:52,時間計算
父親今年33歲，兒子今年13歲，在多少年前父親年齡是兒子的3倍？,3,年齡
小明有646元，買文具用去390元，媽媽又給他134元，現在有多少元？,390,四則運算
列出60的所有因數。,"1,2,3,4,5,6,10,12,15,20,30,60",數論
43公里50米 = ? 米,43050,單位轉換
家中有果52個。媽媽吃了2個後，小文吃了餘下的4/5，現在還剩下多少個果？,10,四則運算
家中有果50個。媽媽吃了5個後，小文吃了餘下的4/5，現在還剩下多少個果？,9,四則運算
13:10 出發，經過45分鐘後到達，到達時間是？,13:55,時間計算
57 × 25 = ?,1425,乘法
父親今年19歲，兒子今年9歲，在多少年前父親年齡是兒子的3倍？,4,年齡
一個梯形有多少組平行線？,1,幾何
每件193元，買8件共需付多少元？,1544元,金錢
30 + 465 = ?,495,加法
小明有532元，買文具用去165元，媽媽又給他147元，現在有多少元？,514,四則運算
20公斤514克 = ? 克,20514,單位轉換
61 + 431 = ?,492,加法
一個梯形有多少組平行線？,1,幾何
171 + 260 = ?,431,加法
93 ÷ 18 = ?,5...3,除法
126 + 30 = ?,156,加法
20公斤568克 = ? 克,20568,單位轉換
"按 紅,黃,藍,綠 次序輪流進行，第58次是什麼？ (A.C B.黃 C.A D.B)",B,週期(選擇)
早餐從飲品3種、主食3種中各選一種，共有多少種組合？,9,組合
一年有31天的月份有幾個？ (A.15 B.11 C.6 D.7),D,常識(選擇)
在○裡填上 + 或 - 或 =：7/8 ? 4/8 (A.= B.: C.> D.√),C,分數(選擇)
43的8倍是多少？,344,倍數
880 - 547 = ?,333,減法
318 + 68 = ?,386,加法
小明有518元，買文具用去280元，媽媽又給他132元，現在有多少元？,370,四則運算
7厘米5毫米 = ? 毫米,75,單位轉換
家中有果83個。媽媽吃了3個後，小文吃了餘下的1/5，現在還剩下多少個果？,64,四則運算
貨倉原有飲料1801支，上午賣出142支，下午運來796支，現在共有多少支？,2455,四則運算
2升865毫升 = ? 毫升,2865,單位轉換
53 × 50 = ?,2650,乘法
246 - 148 = ?,98,減法
14公斤519克 = ? 克,14519,單位轉換
每件204元，買8件共需付多少元？,1632元,金錢
9的31倍是多少？,279,乘法
89 × 10 = ?,890,乘法
19:59 出發，經過20分鐘後到達，到達時間是？,20:19,時間計算
家中有果97個。媽媽吃了5個後，小文吃了餘下的1/2，現在還剩下多少個果？,46,四則運算
在○裡填上 + 或 - 或 =：1/6 ? 5/6 (A.× B.√ C.< D.=),C,分數(選擇)
281 - 239 = ?,42,減法
貨倉原有飲料794支，上午賣出486支，下午運來791支，現在共有多少支？,1099,四則運算
580 - 89 = ?,491,減法
每件113元，買7件共需付多少元？,791元,金錢
157 - 156 = ?,1,減法
家中有果48個。媽媽吃了8個後，小文吃了餘下的1/2，現在還剩下多少個果？,20,四則運算
19:23 出發，經過60分鐘後到達，到達時間是？,20:23,時間計算
在 91104 中，數字「9」表示的數值是？,90000,位值
08:35 出發，經過90分鐘後到達，到達時間是？,10:05,時間計算
487 - 312 = ?,175,減法
432 + 295 = ?,727,加法
01:08 出發，經過15分鐘後到達，到達時間是？,01:23,時間計算
